stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url
ALPR1,ALPR1,ALFÉRES PEREIRA,41.124266488527,-8.61628332891996,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALPR1
MIM1,MIM1,MIMOSAS,41.0989128297082,-8.58921941493334,VNG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIM1
NVL2,NVL2,NOVA LISBOA,41.1133891164695,-8.63108573238485,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=NVL2
MTE,MTE,MONTE,41.1060304775302,-8.64589879452753,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MTE
ARRB1,ARRB1,ARRÁBIDASHOPPING,41.1409804570725,-8.63506252558939,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ARRB1
INFH1,INFH1,INFANTE D. HENRIQUE,41.1195253108875,-8.6153078181339,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=INFH1
FTN2,FTN2,FONTE NOVA,41.137984319036,-8.62166051079827,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTN2
CDL2,CDL2,CANDAL,41.1335509648529,-8.63080978906154,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CDL2
MIM2,MIM2,MIMOSAS,41.0986982893945,-8.58882511981538,VNG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIM2
ISS1,ISS1,ISOLINO SOUSA,41.1076917963522,-8.63878074036271,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ISS1
SNG1,SNG1,SOUSA NOGUEIRA,41.1015319367573,-8.63898335687158,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SNG1
TLR,TLR,TV. LOUREIRO,41.104968045307,-8.64990228068815,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TLR
CRST2,CRST2,CRASTO,41.0995313538315,-8.63738434413657,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRST2
JP2,JP2,JOSÉ PORTUGAL,41.0957542879572,-8.63415403867578,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JP2
AGU1,AGU1,AGUIM,41.1083944094223,-8.63666705634378,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=AGU1
GJ1,GJ1,GOMES JÚNIOR,41.1097020711434,-8.63414125882152,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GJ1
GJ2,GJ2,GOMES JÚNIOR,41.1095749246396,-8.63439029911508,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GJ2
PTD2,PTD2,PITADA,41.1138181766597,-8.63547144926858,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PTD2
JSP,JSP,JOSÉ POÇAS,41.105257194969,-8.64363092587907,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JSP
CPNH1,CPNH1,CAMPOLINHO,41.0954978714338,-8.6309978815653,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPNH1
SAN2,SAN2,STO.  ANTÓNIO,41.1045700034241,-8.6402090593529,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SAN2
PDI2,PDI2,PEDREIRAS,41.1123341526111,-8.63349459804901,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PDI2
AMRQ2,AMRQ2,ANTÓNIO MARQUES,41.2385706459959,-8.61298726070368,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=AMRQ2
A25A1,A25A1,AV. 25 DE ABRIL,41.1555173332525,-8.5860861800396,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=A25A1
CRJ3,CRJ3,CORUJEIRA,41.1594137094835,-8.58021207979115,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRJ3
FALC,FALC,FALCÃO,41.1602599019638,-8.57521726159435,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FALC
CRT2,CRT2,CARTES,41.1613222457418,-8.57291299293705,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRT2
PSG1,PSG1,PEDRAS SALGADAS,41.1590292114892,-8.56975228508912,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PSG1
CPTO1,CPTO1,CERCO DO PORTO,41.1604048354147,-8.57028567381111,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPTO1
SR6,SR6,S. ROQUE,41.1668478032403,-8.56661095240789,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SR6
IGRA1,IGRA1,IGREJA DE ALFENA,41.2366690523894,-8.52582531680014,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=IGRA1
IGRA2,IGRA2,IGREJA DE ALFENA,41.2366899598379,-8.52597800474352,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=IGRA2
ALFN1,ALFN1,ALFENA,41.2403890763048,-8.52544206866777,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALFN1
ALFN2,ALFN2,ALFENA,41.2410342628011,-8.52666687697386,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALFN2
ALFN3,ALFN3,ALFENA,41.2407057376023,-8.52762697304943,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALFN3
EDRG1,EDRG1,ESTÁDIO DO DRAGÃO,41.1602805468367,-8.58380767062862,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG1
EDRG2,EDRG2,ESTÁDIO DO DRAGÃO,41.161472228131,-8.58186090900185,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG2
PCRJ1,PCRJ1,PR. DA CORUJEIRA,41.1569194401221,-8.57984112702906,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCRJ1
BCM1,BCM1,BOAVISTA-CASA DA MÚSICA,41.1589221780111,-8.6295295391539,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BCM1
CRTD,CRTD,CARTÓDROMO,41.2239983124935,-8.71397373431803,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRTD
ABSS1,ABSS1,AV. DO BESSA,41.1653332812588,-8.64308329656803,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ABSS1
ABSS2,ABSS2,AV. DO BESSA,41.1651666831363,-8.64325000698152,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ABSS2
LOI,LOI,LOIOS,41.1454632271985,-8.61215535104877,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LOI
PBLS,PBLS,PALÁCIO DA BOLSA,41.141916643854,-8.61524993525748,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PBLS
TSJN,TSJN,S.JOÃO NOVO,41.1425555241885,-8.61672220064623,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TSJN
SBVT,SBVT,S.BENTO DA VITÓRIA,41.1435277546036,-8.61733326574358,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SBVT
PCV2,PCV2,PERO COVILHÃ,41.164550410878,-8.68524106500395,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCV2
FGTR2,FGTR2,FOGUETEIROS,41.1915832542278,-8.63830222385782,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FGTR2
PSSM2,PSSM2,PASSOS MANUEL,41.1970650660182,-8.66385703223389,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PSSM2
CRMT2,CRMT2,CÂNDIDO REIS (METRO),41.2011984329784,-8.64949196688757,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRMT2
MSB1,MSB1,MONTE S. BRÁS,41.2188883212864,-8.66322839738747,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MSB1
TOR4,TOR4,TOURAIS,41.1983194510384,-8.66729395360315,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TOR4
CHAS3,CHAS3,CHÃS,41.1422266376852,-8.64210769887009,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CHAS3
ARRB3,ARRB3,ARRÁBIDASHOPPING,41.139077162799,-8.63550867953041,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ARRB3
VGM5,VGM5,VASCO DA GAMA,41.2450966997481,-8.515222622845,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VGM5
VGM6,VGM6,VASCO DA GAMA,41.2451953064425,-8.51535442695178,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VGM6
TRD6,TRD6,TRINDADE,41.1510325684057,-8.61085378553862,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TRD6
JFB3,JFB3,JUNTA FREG. BARCA,41.2466328719688,-8.61125545034662,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JFB3
GEST,GEST,GESTALINHO,41.2462471545941,-8.60969099729427,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GEST
BARC1,BARC1,BARCA,41.2468695384272,-8.60724986208185,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BARC1
